,Artist,Song Name,Id,Release Date,Popularity,Genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3,Girls Generation,The Boys,4sRQg2aoec0VIvQ7GZPGMy,2011-10-19,62,"['k-pop', 'k-pop girl group']",0.885,0.937,1,-0.678,0,0.0898,0.142,0.0,0.103,0.878,114.974,audio_features,4sRQg2aoec0VIvQ7GZPGMy,spotify:track:4sRQg2aoec0VIvQ7GZPGMy,https://api.spotify.com/v1/tracks/4sRQg2aoec0VIvQ7GZPGMy,https://api.spotify.com/v1/audio-analysis/4sRQg2aoec0VIvQ7GZPGMy,228880,4
6,Girls Generation,I GOT A BOY,2WkPfNd237yc0l5KewCDpp,2013-01-01,62,"['k-pop', 'k-pop girl group']",0.502,0.863,4,-1.273,0,0.272,0.0342,0.0,0.538,0.527,97.911,audio_features,2WkPfNd237yc0l5KewCDpp,spotify:track:2WkPfNd237yc0l5KewCDpp,https://api.spotify.com/v1/tracks/2WkPfNd237yc0l5KewCDpp,https://api.spotify.com/v1/audio-analysis/2WkPfNd237yc0l5KewCDpp,271326,4
21,Super Junior,Mr. Simple,6QTBYKLlV2PQniwAWrBV2z,2011-08-02,61,"['k-pop', 'k-pop boy group']",0.913,0.745,1,-2.837,1,0.0506,0.000219,0.00208,0.0622,0.795,127.996,audio_features,6QTBYKLlV2PQniwAWrBV2z,spotify:track:6QTBYKLlV2PQniwAWrBV2z,https://api.spotify.com/v1/tracks/6QTBYKLlV2PQniwAWrBV2z,https://api.spotify.com/v1/audio-analysis/6QTBYKLlV2PQniwAWrBV2z,241827,4
8,Girls Generation,Run Devil Run,0U9jNoTJeTxXToakhsb7pV,2010-03-22,60,"['k-pop', 'k-pop girl group']",0.687,0.888,11,-2.725,0,0.146,0.0596,2.14e-05,0.181,0.791,64.927,audio_features,0U9jNoTJeTxXToakhsb7pV,spotify:track:0U9jNoTJeTxXToakhsb7pV,https://api.spotify.com/v1/tracks/0U9jNoTJeTxXToakhsb7pV,https://api.spotify.com/v1/audio-analysis/0U9jNoTJeTxXToakhsb7pV,201920,4
31,Apink,Dumhdurum,55kuHkT2CWhWKF6CoRDnJq,2020-04-13,60,"['k-pop', 'k-pop girl group']",0.653,0.923,8,-2.163,0,0.0621,0.145,0.0,0.137,0.692,114.902,audio_features,55kuHkT2CWhWKF6CoRDnJq,spotify:track:55kuHkT2CWhWKF6CoRDnJq,https://api.spotify.com/v1/tracks/55kuHkT2CWhWKF6CoRDnJq,https://api.spotify.com/v1/audio-analysis/55kuHkT2CWhWKF6CoRDnJq,208053,4
32,Apink,I'm so sick,6oZee3RwM7GHykYHZeb7GT,2018-07-02,59,"['k-pop', 'k-pop girl group']",0.594,0.81,6,-2.083,0,0.0531,0.128,0.0,0.0324,0.777,123.752,audio_features,6oZee3RwM7GHykYHZeb7GT,spotify:track:6oZee3RwM7GHykYHZeb7GT,https://api.spotify.com/v1/tracks/6oZee3RwM7GHykYHZeb7GT,https://api.spotify.com/v1/audio-analysis/6oZee3RwM7GHykYHZeb7GT,199403,4
9,Girls Generation,Mr.Mr.,3JaMGQXJmtbAhvgl0nBPPN,2014-02-24,59,"['k-pop', 'k-pop girl group']",0.701,0.964,4,-2.037,0,0.127,0.114,9.34e-06,0.153,0.484,113.058,audio_features,3JaMGQXJmtbAhvgl0nBPPN,spotify:track:3JaMGQXJmtbAhvgl0nBPPN,https://api.spotify.com/v1/tracks/3JaMGQXJmtbAhvgl0nBPPN,https://api.spotify.com/v1/audio-analysis/3JaMGQXJmtbAhvgl0nBPPN,235434,4
33,Apink,NoNoNo,5SusX17QvBBkH7WfMbTU0j,2013-07-05,58,"['k-pop', 'k-pop girl group']",0.74,0.908,4,-2.668,0,0.0327,0.106,0.0,0.0637,0.745,105.996,audio_features,5SusX17QvBBkH7WfMbTU0j,spotify:track:5SusX17QvBBkH7WfMbTU0j,https://api.spotify.com/v1/tracks/5SusX17QvBBkH7WfMbTU0j,https://api.spotify.com/v1/audio-analysis/5SusX17QvBBkH7WfMbTU0j,220099,4
23,Super Junior,Lo Siento,2VVqxQhALecXvaArlZSVXr,2018-04-12,57,"['k-pop', 'k-pop boy group']",0.746,0.738,9,-3.67,1,0.207,0.0705,0.0,0.043,0.63,94.808,audio_features,2VVqxQhALecXvaArlZSVXr,spotify:track:2VVqxQhALecXvaArlZSVXr,https://api.spotify.com/v1/tracks/2VVqxQhALecXvaArlZSVXr,https://api.spotify.com/v1/audio-analysis/2VVqxQhALecXvaArlZSVXr,226184,4
34,Apink,D N D,1XrPkH2rQYgVMJeIMdUbRU,2023-04-05,57,"['k-pop', 'k-pop girl group']",0.789,0.799,10,-1.56,1,0.0445,0.417,0.0,0.129,0.765,111.961,audio_features,1XrPkH2rQYgVMJeIMdUbRU,spotify:track:1XrPkH2rQYgVMJeIMdUbRU,https://api.spotify.com/v1/tracks/1XrPkH2rQYgVMJeIMdUbRU,https://api.spotify.com/v1/audio-analysis/1XrPkH2rQYgVMJeIMdUbRU,187480,4
