,Artist,Song Name,Id,Release Date,Popularity,Genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
51,SEVENTEEN,HOT,6I2tqFhk8tq69iursYxuxd,2022-05-27,80,"['k-pop', 'k-pop boy group']",0.765,0.777,5,-4.376,0,0.0399,0.0539,2.58e-06,0.338,0.64,111.944,audio_features,6I2tqFhk8tq69iursYxuxd,spotify:track:6I2tqFhk8tq69iursYxuxd,https://api.spotify.com/v1/tracks/6I2tqFhk8tq69iursYxuxd,https://api.spotify.com/v1/audio-analysis/6I2tqFhk8tq69iursYxuxd,197587,4
71,EXO,Love Shot,0yB4jrSwN0bFtFRDR5vyMj,2018-12-13,79,"['k-pop', 'k-pop boy group']",0.689,0.678,5,-4.287,0,0.119,0.0702,0.0,0.0889,0.335,145.883,audio_features,0yB4jrSwN0bFtFRDR5vyMj,spotify:track:0yB4jrSwN0bFtFRDR5vyMj,https://api.spotify.com/v1/tracks/0yB4jrSwN0bFtFRDR5vyMj,https://api.spotify.com/v1/audio-analysis/0yB4jrSwN0bFtFRDR5vyMj,200306,4
62,TWICE,Talk that Talk,0RDqNCRBGrSegk16Avfzuq,2022-08-26,79,"['k-pop', 'k-pop girl group', 'pop']",0.772,0.907,3,-2.438,0,0.124,0.136,0.0,0.334,0.783,119.973,audio_features,0RDqNCRBGrSegk16Avfzuq,spotify:track:0RDqNCRBGrSegk16Avfzuq,https://api.spotify.com/v1/tracks/0RDqNCRBGrSegk16Avfzuq,https://api.spotify.com/v1/audio-analysis/0RDqNCRBGrSegk16Avfzuq,177467,4
72,EXO,Hear Me Out,44EXniDpWap2veS1gH1svO,2023-06-30,78,"['k-pop', 'k-pop boy group']",0.666,0.727,0,-2.375,0,0.0534,0.095,0.0,0.305,0.591,92.056,audio_features,44EXniDpWap2veS1gH1svO,spotify:track:44EXniDpWap2veS1gH1svO,https://api.spotify.com/v1/tracks/44EXniDpWap2veS1gH1svO,https://api.spotify.com/v1/audio-analysis/44EXniDpWap2veS1gH1svO,204093,4
66,TWICE,FANCY,2qQpFbqqkLOGySgNK8wBXt,2019-04-22,78,"['k-pop', 'k-pop girl group', 'pop']",0.697,0.874,5,-2.15,0,0.0449,0.0122,0.0,0.627,0.775,132.018,audio_features,2qQpFbqqkLOGySgNK8wBXt,spotify:track:2qQpFbqqkLOGySgNK8wBXt,https://api.spotify.com/v1/tracks/2qQpFbqqkLOGySgNK8wBXt,https://api.spotify.com/v1/audio-analysis/2qQpFbqqkLOGySgNK8wBXt,213880,4
65,TWICE,Hare Hare,0h3dJV8JA5oxPzSF4tkz2t,2023-05-12,78,"['k-pop', 'k-pop girl group', 'pop']",0.707,0.83,9,-5.331,0,0.0642,0.171,0.0,0.176,0.758,128.106,audio_features,0h3dJV8JA5oxPzSF4tkz2t,spotify:track:0h3dJV8JA5oxPzSF4tkz2t,https://api.spotify.com/v1/tracks/0h3dJV8JA5oxPzSF4tkz2t,https://api.spotify.com/v1/audio-analysis/0h3dJV8JA5oxPzSF4tkz2t,203547,4
64,TWICE,What is Love,3zhbXKFjUDw40pTYyCgt1Y,2018-07-09,78,"['k-pop', 'k-pop girl group', 'pop']",0.574,0.909,8,-1.573,1,0.0658,0.0987,0.0,0.264,0.569,169.966,audio_features,3zhbXKFjUDw40pTYyCgt1Y,spotify:track:3zhbXKFjUDw40pTYyCgt1Y,https://api.spotify.com/v1/tracks/3zhbXKFjUDw40pTYyCgt1Y,https://api.spotify.com/v1/audio-analysis/3zhbXKFjUDw40pTYyCgt1Y,208240,4
63,TWICE,The Feels,308Ir17KlNdlrbVLHWhlLe,2021-11-12,78,"['k-pop', 'k-pop girl group', 'pop']",0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044,audio_features,308Ir17KlNdlrbVLHWhlLe,spotify:track:308Ir17KlNdlrbVLHWhlLe,https://api.spotify.com/v1/tracks/308Ir17KlNdlrbVLHWhlLe,https://api.spotify.com/v1/audio-analysis/308Ir17KlNdlrbVLHWhlLe,198053,4
54,SEVENTEEN,Rock with you,6LnEoRQKMcaFTR5UvaKuBy,2021-10-22,77,"['k-pop', 'k-pop boy group']",0.621,0.816,11,-5.242,1,0.104,0.0966,0.0,0.134,0.694,163.966,audio_features,6LnEoRQKMcaFTR5UvaKuBy,spotify:track:6LnEoRQKMcaFTR5UvaKuBy,https://api.spotify.com/v1/tracks/6LnEoRQKMcaFTR5UvaKuBy,https://api.spotify.com/v1/audio-analysis/6LnEoRQKMcaFTR5UvaKuBy,180360,4
53,SEVENTEEN,F*ck My Life,3tgWMPOY4stCdKYj5NjrAe,2023-04-24,77,"['k-pop', 'k-pop boy group']",0.736,0.685,5,-4.762,1,0.0604,0.0849,0.0,0.0955,0.857,80.022,audio_features,3tgWMPOY4stCdKYj5NjrAe,spotify:track:3tgWMPOY4stCdKYj5NjrAe,https://api.spotify.com/v1/tracks/3tgWMPOY4stCdKYj5NjrAe,https://api.spotify.com/v1/audio-analysis/3tgWMPOY4stCdKYj5NjrAe,202280,4
