,Artist,Song Name,Id,Release Date,Popularity,Genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
104,ENHYPEN,Sacrifice (Eat Me Up),58ItBuVuKc03DvqSeZFnH1,2023-05-22,79,"['anime', 'k-pop boy group']",0.536,0.727,0,-4.707,0,0.085,0.444,0.0,0.102,0.529,68.985,audio_features,58ItBuVuKc03DvqSeZFnH1,spotify:track:58ItBuVuKc03DvqSeZFnH1,https://api.spotify.com/v1/tracks/58ItBuVuKc03DvqSeZFnH1,https://api.spotify.com/v1/audio-analysis/58ItBuVuKc03DvqSeZFnH1,202488,4
91,LE SSERAFIM,ANTIFRAGILE,0bMoNdAnxNR0OuQbGDovrr,2023-05-01,79,['k-pop girl group'],0.879,0.784,10,-3.944,0,0.081,0.0759,0.0,0.125,0.83,105.019,audio_features,0bMoNdAnxNR0OuQbGDovrr,spotify:track:0bMoNdAnxNR0OuQbGDovrr,https://api.spotify.com/v1/tracks/0bMoNdAnxNR0OuQbGDovrr,https://api.spotify.com/v1/audio-analysis/0bMoNdAnxNR0OuQbGDovrr,184444,4
103,ENHYPEN,FEVER,0UzymivvUH5s8z4PeWZJaK,2021-04-26,79,"['anime', 'k-pop boy group']",0.6,0.713,6,-5.079,0,0.0592,0.0642,0.0,0.142,0.471,72.999,audio_features,0UzymivvUH5s8z4PeWZJaK,spotify:track:0UzymivvUH5s8z4PeWZJaK,https://api.spotify.com/v1/tracks/0UzymivvUH5s8z4PeWZJaK,https://api.spotify.com/v1/audio-analysis/0UzymivvUH5s8z4PeWZJaK,172107,4
88,NEWJEANS,Zero,5LMoKDVzW2kDneNu2UbspP,2023-04-03,77,"['k-pop', 'k-pop girl group']",0.705,0.653,1,-7.407,0,0.17,0.31,1.46e-05,0.122,0.578,171.932,audio_features,5LMoKDVzW2kDneNu2UbspP,spotify:track:5LMoKDVzW2kDneNu2UbspP,https://api.spotify.com/v1/tracks/5LMoKDVzW2kDneNu2UbspP,https://api.spotify.com/v1/audio-analysis/5LMoKDVzW2kDneNu2UbspP,154194,4
106,ENHYPEN,Chaconne,7nBjhYbLttb9LHZHqNuld5,2023-05-22,76,"['anime', 'k-pop boy group']",0.646,0.644,6,-6.192,0,0.0587,0.0975,0.0,0.0581,0.462,139.959,audio_features,7nBjhYbLttb9LHZHqNuld5,spotify:track:7nBjhYbLttb9LHZHqNuld5,https://api.spotify.com/v1/tracks/7nBjhYbLttb9LHZHqNuld5,https://api.spotify.com/v1/audio-analysis/7nBjhYbLttb9LHZHqNuld5,213706,4
107,ENHYPEN,SHOUT OUT,5Z2DNRAhs6r4VdINVkRhYY,2022-07-04,76,"['anime', 'k-pop boy group']",0.495,0.844,2,-3.65,1,0.0671,0.00315,0.0,0.459,0.486,159.989,audio_features,5Z2DNRAhs6r4VdINVkRhYY,spotify:track:5Z2DNRAhs6r4VdINVkRhYY,https://api.spotify.com/v1/tracks/5Z2DNRAhs6r4VdINVkRhYY,https://api.spotify.com/v1/audio-analysis/5Z2DNRAhs6r4VdINVkRhYY,228116,4
93,LE SSERAFIM,FEARLESS (2023 Ver.),4K8jDTlNhZWEdnzZVGRMtN,2023-05-01,75,['k-pop girl group'],0.856,0.615,7,-7.226,1,0.133,0.0602,0.0018,0.118,0.48,103.948,audio_features,4K8jDTlNhZWEdnzZVGRMtN,spotify:track:4K8jDTlNhZWEdnzZVGRMtN,https://api.spotify.com/v1/tracks/4K8jDTlNhZWEdnzZVGRMtN,https://api.spotify.com/v1/audio-analysis/4K8jDTlNhZWEdnzZVGRMtN,168437,4
111,ATEEZ,HALAZIA,5cTnKClHyczcUhFT8MKBZe,2022-12-30,74,"['k-pop', 'k-pop boy group']",0.482,0.884,6,-4.538,0,0.0668,0.000677,0.000575,0.0883,0.377,171.915,audio_features,5cTnKClHyczcUhFT8MKBZe,spotify:track:5cTnKClHyczcUhFT8MKBZe,https://api.spotify.com/v1/tracks/5cTnKClHyczcUhFT8MKBZe,https://api.spotify.com/v1/audio-analysis/5cTnKClHyczcUhFT8MKBZe,197026,4
108,ENHYPEN,Fate,0iLyNDLTsBkqB8SLAzNGxF,2023-05-22,74,"['anime', 'k-pop boy group']",0.504,0.741,8,-7.47,1,0.0421,0.0531,4.47e-06,0.343,0.486,84.046,audio_features,0iLyNDLTsBkqB8SLAzNGxF,spotify:track:0iLyNDLTsBkqB8SLAzNGxF,https://api.spotify.com/v1/tracks/0iLyNDLTsBkqB8SLAzNGxF,https://api.spotify.com/v1/audio-analysis/0iLyNDLTsBkqB8SLAzNGxF,151670,3
97,LE SSERAFIM,Good Parts (when the quality is bad but I am),1sZBzYhrQG40zcSuKkI93c,2022-10-17,74,['k-pop girl group'],0.785,0.679,0,-4.907,1,0.0379,0.516,0.0,0.417,0.616,121.121,audio_features,1sZBzYhrQG40zcSuKkI93c,spotify:track:1sZBzYhrQG40zcSuKkI93c,https://api.spotify.com/v1/tracks/1sZBzYhrQG40zcSuKkI93c,https://api.spotify.com/v1/audio-analysis/1sZBzYhrQG40zcSuKkI93c,156355,4
109,ENHYPEN,Future Perfect (Pass the MIC),6PRy17C5LiiN7VCLS6IA98,2022-07-04,74,"['anime', 'k-pop boy group']",0.658,0.9,9,-3.479,0,0.264,0.0364,0.0,0.0771,0.526,156.096,audio_features,6PRy17C5LiiN7VCLS6IA98,spotify:track:6PRy17C5LiiN7VCLS6IA98,https://api.spotify.com/v1/tracks/6PRy17C5LiiN7VCLS6IA98,https://api.spotify.com/v1/audio-analysis/6PRy17C5LiiN7VCLS6IA98,180750,4
112,ATEEZ,DJANGO,5Ku5uYEtkdpNlkgqU6p4ir,2023-06-16,73,"['k-pop', 'k-pop boy group']",0.761,0.826,5,-4.184,0,0.128,0.107,0.0,0.0571,0.648,93.911,audio_features,5Ku5uYEtkdpNlkgqU6p4ir,spotify:track:5Ku5uYEtkdpNlkgqU6p4ir,https://api.spotify.com/v1/tracks/5Ku5uYEtkdpNlkgqU6p4ir,https://api.spotify.com/v1/audio-analysis/5Ku5uYEtkdpNlkgqU6p4ir,191923,4
89,NEWJEANS,"Be Who You Are (Real Magic) (feat. JID, NewJeans & Camilo)",7fcZk7OXeFWD7DWybltVVf,2023-05-31,73,"['k-pop', 'k-pop girl group']",0.657,0.875,2,-4.206,1,0.089,0.0328,0.0,0.267,0.745,143.884,audio_features,7fcZk7OXeFWD7DWybltVVf,spotify:track:7fcZk7OXeFWD7DWybltVVf,https://api.spotify.com/v1/tracks/7fcZk7OXeFWD7DWybltVVf,https://api.spotify.com/v1/audio-analysis/7fcZk7OXeFWD7DWybltVVf,189714,4
98,LE SSERAFIM,No-Return (Into the unknown),6DSGb5CmwHX4pvclq8HUU1,2023-05-01,72,['k-pop girl group'],0.753,0.717,7,-4.672,1,0.0593,0.0267,0.0,0.271,0.948,157.976,audio_features,6DSGb5CmwHX4pvclq8HUU1,spotify:track:6DSGb5CmwHX4pvclq8HUU1,https://api.spotify.com/v1/tracks/6DSGb5CmwHX4pvclq8HUU1,https://api.spotify.com/v1/audio-analysis/6DSGb5CmwHX4pvclq8HUU1,184824,4
113,ATEEZ,This World,6QDcmN2Avrim8kNoCHkw9s,2023-06-16,72,"['k-pop', 'k-pop boy group']",0.457,0.834,2,-5.398,1,0.11,0.00147,0.0,0.612,0.18,176.088,audio_features,6QDcmN2Avrim8kNoCHkw9s,spotify:track:6QDcmN2Avrim8kNoCHkw9s,https://api.spotify.com/v1/tracks/6QDcmN2Avrim8kNoCHkw9s,https://api.spotify.com/v1/audio-analysis/6QDcmN2Avrim8kNoCHkw9s,212106,4
114,ATEEZ,Dune,1CwzGOJqmATtWE8H00MEIL,2023-06-16,72,"['k-pop', 'k-pop boy group']",0.515,0.926,9,-3.769,1,0.155,0.00506,0.0,0.312,0.595,160.09,audio_features,1CwzGOJqmATtWE8H00MEIL,spotify:track:1CwzGOJqmATtWE8H00MEIL,https://api.spotify.com/v1/tracks/1CwzGOJqmATtWE8H00MEIL,https://api.spotify.com/v1/audio-analysis/1CwzGOJqmATtWE8H00MEIL,195484,4
115,ATEEZ,Guerrilla,0tYZo2UhV1lrUez5CA0Iyw,2022-07-29,71,"['k-pop', 'k-pop boy group']",0.555,0.89,9,-5.349,1,0.132,0.00399,0.0,0.0506,0.581,181.963,audio_features,0tYZo2UhV1lrUez5CA0Iyw,spotify:track:0tYZo2UhV1lrUez5CA0Iyw,https://api.spotify.com/v1/tracks/0tYZo2UhV1lrUez5CA0Iyw,https://api.spotify.com/v1/audio-analysis/0tYZo2UhV1lrUez5CA0Iyw,207922,4
116,ATEEZ,Outlaw,6UM7j0WbcGtk06c6pGKiQ6,2023-06-16,71,"['k-pop', 'k-pop boy group']",0.736,0.774,5,-5.031,0,0.0908,0.0248,0.0,0.081,0.528,94.021,audio_features,6UM7j0WbcGtk06c6pGKiQ6,spotify:track:6UM7j0WbcGtk06c6pGKiQ6,https://api.spotify.com/v1/tracks/6UM7j0WbcGtk06c6pGKiQ6,https://api.spotify.com/v1/audio-analysis/6UM7j0WbcGtk06c6pGKiQ6,199307,4
117,ATEEZ,Wake Up,2fZ1DdMpQZIiPMIgyt27dT,2023-06-16,71,"['k-pop', 'k-pop boy group']",0.558,0.931,1,-3.484,1,0.0644,0.00286,0.0,0.228,0.41,149.918,audio_features,2fZ1DdMpQZIiPMIgyt27dT,spotify:track:2fZ1DdMpQZIiPMIgyt27dT,https://api.spotify.com/v1/tracks/2fZ1DdMpQZIiPMIgyt27dT,https://api.spotify.com/v1/audio-analysis/2fZ1DdMpQZIiPMIgyt27dT,186434,4
118,ATEEZ,Deja Vu,3zmrdOtnOogqLllz26WLZ3,2021-09-13,71,"['k-pop', 'k-pop boy group']",0.692,0.835,6,-4.978,0,0.0628,0.0517,0.0,0.134,0.566,80.017,audio_features,3zmrdOtnOogqLllz26WLZ3,spotify:track:3zmrdOtnOogqLllz26WLZ3,https://api.spotify.com/v1/tracks/3zmrdOtnOogqLllz26WLZ3,https://api.spotify.com/v1/audio-analysis/3zmrdOtnOogqLllz26WLZ3,196670,4
99,LE SSERAFIM,Fire in the belly,05RlBHEZg1RmL9DnPgv9Qq,2023-05-01,70,['k-pop girl group'],0.716,0.779,9,-3.735,0,0.0589,0.0106,0.0,0.0266,0.442,119.932,audio_features,05RlBHEZg1RmL9DnPgv9Qq,spotify:track:05RlBHEZg1RmL9DnPgv9Qq,https://api.spotify.com/v1/tracks/05RlBHEZg1RmL9DnPgv9Qq,https://api.spotify.com/v1/audio-analysis/05RlBHEZg1RmL9DnPgv9Qq,198233,4
119,ATEEZ,WONDERLAND,6k67RdkVjTZj79c1cRz7IQ,2019-10-08,70,"['k-pop', 'k-pop boy group']",0.572,0.964,4,-1.949,0,0.123,0.0503,0.0,0.372,0.519,129.979,audio_features,6k67RdkVjTZj79c1cRz7IQ,spotify:track:6k67RdkVjTZj79c1cRz7IQ,https://api.spotify.com/v1/tracks/6k67RdkVjTZj79c1cRz7IQ,https://api.spotify.com/v1/audio-analysis/6k67RdkVjTZj79c1cRz7IQ,199013,4
95,LE SSERAFIM,Blue Flame (2023 Ver.),2ahp0wvyEzyvgWfOhStHWp,2023-05-01,69,['k-pop girl group'],0.771,0.747,4,-3.407,0,0.0455,0.023,1.47e-06,0.0706,0.762,112.046,audio_features,2ahp0wvyEzyvgWfOhStHWp,spotify:track:2ahp0wvyEzyvgWfOhStHWp,https://api.spotify.com/v1/tracks/2ahp0wvyEzyvgWfOhStHWp,https://api.spotify.com/v1/audio-analysis/2ahp0wvyEzyvgWfOhStHWp,201895,4
96,LE SSERAFIM,Impurities,7mYwDmbbp8UPLlnRjTJ54X,2023-05-01,68,['k-pop girl group'],0.597,0.766,9,-4.192,0,0.0982,0.244,0.0,0.0664,0.453,180.126,audio_features,7mYwDmbbp8UPLlnRjTJ54X,spotify:track:7mYwDmbbp8UPLlnRjTJ54X,https://api.spotify.com/v1/tracks/7mYwDmbbp8UPLlnRjTJ54X,https://api.spotify.com/v1/audio-analysis/7mYwDmbbp8UPLlnRjTJ54X,196365,4
